,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.22448979591836735,0.0,0.0,0.3469387755102041,0.0,0.01020408163265306,0.0,0.41836734693877553
Defensive Action,0.13761467889908258,0.11009174311926606,0.22018348623853212,0.009174311926605505,0.0,0.06422018348623854,0.045871559633027525,0.07339449541284404,0.0,0.3394495412844037
Duel,0.037914691943127965,0.04739336492890995,0.08056872037914692,0.004739336492890996,0.0,0.04739336492890995,0.5924170616113744,0.0,0.023696682464454975,0.16587677725118483
Foul,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.9090909090909091,0.0,0.045454545454545456,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.21311475409836064,0.18032786885245902,0.21311475409836064,0.0,0.0,0.06557377049180328,0.0,0.06557377049180328,0.0,0.26229508196721313
Possession,0.06576402321083172,0.019342359767891684,0.11798839458413926,0.017408123791102514,0.0,0.21083172147001933,0.19148936170212766,0.0019342359767891683,0.02127659574468085,0.3539651837524178
Set Piece / Restart,0.36,0.02,0.1,0.0,0.0,0.14,0.0,0.28,0.0,0.1
Shoot Attempt,0.034482758620689655,0.13793103448275862,0.0,0.0,0.13793103448275862,0.0,0.0,0.6896551724137931,0.0,0.0
Short Pass,0.1267605633802817,0.36619718309859156,0.23943661971830985,0.028169014084507043,0.0,0.028169014084507043,0.0,0.0,0.0,0.2112676056338028
