,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.3516483516483517
Defensive Action,0.08181818181818182,0.10909090909090909,0.2727272727272727,0.00909090909090909,0.0,0.12727272727272726,0.10909090909090909,0.10909090909090909,0.0,0.18181818181818182
Duel,0.06626506024096386,0.03614457831325301,0.07228915662650602,0.0,0.0,0.018072289156626505,0.6686746987951807,0.012048192771084338,0.03614457831325301,0.09036144578313253
Foul,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.07692307692307693,0.0,0.07692307692307693
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2361111111111111,0.3472222222222222,0.16666666666666666,0.0,0.0,0.027777777777777776,0.0,0.041666666666666664,0.0,0.18055555555555555
Possession,0.03234501347708895,0.004043126684636119,0.04043126684636118,0.008086253369272238,0.0,0.2601078167115903,0.11994609164420485,0.004043126684636119,0.03369272237196765,0.4973045822102426
Set Piece / Restart,0.2948717948717949,0.01282051282051282,0.07692307692307693,0.01282051282051282,0.0,0.15384615384615385,0.10256410256410256,0.23076923076923078,0.0,0.11538461538461539
Shoot Attempt,0.07142857142857142,0.23809523809523808,0.023809523809523808,0.0,0.09523809523809523,0.0,0.0,0.5714285714285714,0.0,0.0
Short Pass,0.06557377049180328,0.4426229508196721,0.2786885245901639,0.03278688524590164,0.0,0.06557377049180328,0.0,0.0,0.0,0.11475409836065574
