,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.35714285714285715,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.014285714285714285,0.34285714285714286
Defensive Action,0.09195402298850575,0.11494252873563218,0.22988505747126436,0.0,0.0,0.06896551724137931,0.11494252873563218,0.12643678160919541,0.0,0.25287356321839083
Duel,0.03355704697986577,0.08053691275167785,0.0738255033557047,0.0,0.0,0.020134228187919462,0.6375838926174496,0.0,0.040268456375838924,0.11409395973154363
Foul,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.047619047619047616,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.39285714285714285,0.14285714285714285,0.17857142857142858,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.0,0.14285714285714285
Possession,0.03012912482065997,0.007173601147776184,0.028694404591104734,0.01291248206599713,0.0,0.27546628407460544,0.11764705882352941,0.0028694404591104736,0.011477761836441894,0.5136298421807748
Set Piece / Restart,0.3333333333333333,0.031746031746031744,0.12698412698412698,0.0,0.0,0.015873015873015872,0.12698412698412698,0.2857142857142857,0.031746031746031744,0.047619047619047616
Shoot Attempt,0.0,0.4,0.0,0.0,0.15,0.0,0.0,0.45,0.0,0.0
Short Pass,0.12,0.52,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16
