,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.21568627450980393,0.0,0.0,0.29411764705882354,0.0,0.0196078431372549,0.0,0.47058823529411764
Defensive Action,0.06542056074766354,0.04672897196261682,0.21495327102803738,0.0,0.0,0.08411214953271028,0.102803738317757,0.08411214953271028,0.018691588785046728,0.38317757009345793
Duel,0.03225806451612903,0.03225806451612903,0.05806451612903226,0.0,0.0,0.03225806451612903,0.6967741935483871,0.0064516129032258064,0.025806451612903226,0.11612903225806452
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
Possession,0.026587887740029542,0.007385524372230428,0.04874446085672083,0.008862629246676515,0.0,0.26440177252584934,0.12259970457902511,0.005908419497784343,0.008862629246676515,0.5066469719350074
Set Piece / Restart,0.3469387755102041,0.10204081632653061,0.02040816326530612,0.0,0.0,0.08163265306122448,0.08163265306122448,0.24489795918367346,0.02040816326530612,0.10204081632653061
Shoot Attempt,0.0,0.3,0.0,0.0,0.15,0.0,0.0,0.55,0.0,0.0
Short Pass,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0
