,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3050847457627119,0.0,0.0,0.3220338983050847,0.0,0.03389830508474576,0.0,0.3389830508474576
Defensive Action,0.11688311688311688,0.03896103896103896,0.2727272727272727,0.0,0.0,0.05194805194805195,0.12987012987012986,0.11688311688311688,0.0,0.2727272727272727
Duel,0.041666666666666664,0.0625,0.09722222222222222,0.006944444444444444,0.0,0.027777777777777776,0.5555555555555556,0.006944444444444444,0.013888888888888888,0.1875
Foul,0.03125,0.0,0.0,0.03125,0.0,0.0,0.875,0.0,0.03125,0.03125
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.375,0.0625,0.3125,0.0625,0.0,0.0,0.0,0.125,0.0,0.0625
Possession,0.023529411764705882,0.009411764705882352,0.03058823529411765,0.02235294117647059,0.0,0.1976470588235294,0.09647058823529411,0.002352941176470588,0.009411764705882352,0.6082352941176471
Set Piece / Restart,0.24074074074074073,0.0,0.1111111111111111,0.0,0.0,0.09259259259259259,0.037037037037037035,0.3333333333333333,0.0,0.18518518518518517
Shoot Attempt,0.045454545454545456,0.3181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.5454545454545454,0.0,0.0
Short Pass,0.13043478260869565,0.43478260869565216,0.30434782608695654,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0
