,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.03260869565217391,0.3804347826086957,0.0,0.0,0.14130434782608695,0.0,0.07608695652173914,0.0,0.3695652173913043
Defensive Action,0.15555555555555556,0.03333333333333333,0.28888888888888886,0.0,0.0,0.1,0.1,0.1111111111111111,0.0,0.2111111111111111
Duel,0.07086614173228346,0.03937007874015748,0.047244094488188976,0.0,0.0,0.05511811023622047,0.6062992125984252,0.0,0.03937007874015748,0.14173228346456693
Foul,0.0,0.0,0.0,0.0,0.0,0.04,0.88,0.0,0.04,0.04
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3829787234042553,0.3404255319148936,0.14893617021276595,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0851063829787234
Possession,0.023622047244094488,0.003937007874015748,0.03280839895013123,0.013123359580052493,0.0,0.19160104986876642,0.08005249343832022,0.003937007874015748,0.01968503937007874,0.631233595800525
Set Piece / Restart,0.3230769230769231,0.06153846153846154,0.03076923076923077,0.0,0.0,0.13846153846153847,0.03076923076923077,0.24615384615384617,0.015384615384615385,0.15384615384615385
Shoot Attempt,0.1111111111111111,0.25,0.0,0.0,0.1388888888888889,0.0,0.0,0.5,0.0,0.0
Short Pass,0.18604651162790697,0.5348837209302325,0.09302325581395349,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.09302325581395349
