,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.025,0.275,0.0,0.0,0.19166666666666668,0.0,0.058333333333333334,0.0,0.45
Defensive Action,0.17567567567567569,0.013513513513513514,0.20270270270270271,0.013513513513513514,0.0,0.13513513513513514,0.17567567567567569,0.08108108108108109,0.0,0.20270270270270271
Duel,0.024844720496894408,0.006211180124223602,0.062111801242236024,0.012422360248447204,0.0,0.031055900621118012,0.7577639751552795,0.012422360248447204,0.0,0.09316770186335403
Foul,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2037037037037037,0.10185185185185185,0.25,0.027777777777777776,0.0,0.046296296296296294,0.0,0.037037037037037035,0.0,0.3333333333333333
Possession,0.04395604395604396,0.004709576138147566,0.05023547880690738,0.026687598116169546,0.0,0.21821036106750394,0.18995290423861852,0.007849293563579277,0.03610675039246468,0.42229199372056514
Set Piece / Restart,0.4305555555555556,0.027777777777777776,0.08333333333333333,0.0,0.0,0.1111111111111111,0.05555555555555555,0.25,0.0,0.041666666666666664
Shoot Attempt,0.058823529411764705,0.11764705882352941,0.0,0.0,0.029411764705882353,0.0,0.0,0.7941176470588235,0.0,0.0
Short Pass,0.1484375,0.2421875,0.1875,0.046875,0.0,0.0703125,0.0,0.015625,0.0,0.2890625
