,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.40540540540540543,0.0,0.0,0.16216216216216217,0.0,0.013513513513513514,0.0,0.4189189189189189
Defensive Action,0.12941176470588237,0.023529411764705882,0.29411764705882354,0.023529411764705882,0.0,0.07058823529411765,0.16470588235294117,0.07058823529411765,0.011764705882352941,0.21176470588235294
Duel,0.05454545454545454,0.04242424242424243,0.07272727272727272,0.0,0.0,0.01818181818181818,0.5212121212121212,0.024242424242424242,0.04242424242424243,0.22424242424242424
Foul,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.9285714285714286,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.38461538461538464,0.2692307692307692,0.15384615384615385,0.11538461538461539,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464
Possession,0.02187120291616039,0.0,0.03766707168894289,0.006075334143377886,0.0,0.25637910085054677,0.08626974483596597,0.002430133657351154,0.007290400972053463,0.5820170109356014
Set Piece / Restart,0.3958333333333333,0.041666666666666664,0.0625,0.0,0.0,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.0,0.125
Shoot Attempt,0.043478260869565216,0.17391304347826086,0.0,0.0,0.13043478260869565,0.0,0.0,0.6521739130434783,0.0,0.0
Short Pass,0.13513513513513514,0.5405405405405406,0.16216216216216217,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.13513513513513514
