,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.32222222222222224,0.0,0.0,0.17777777777777778,0.0,0.022222222222222223,0.0,0.4777777777777778
Defensive Action,0.15463917525773196,0.05154639175257732,0.21649484536082475,0.0,0.0,0.061855670103092786,0.1958762886597938,0.08247422680412371,0.0,0.23711340206185566
Duel,0.04807692307692308,0.038461538461538464,0.08653846153846154,0.0,0.0,0.019230769230769232,0.6634615384615384,0.014423076923076924,0.009615384615384616,0.1201923076923077
Foul,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.43243243243243246,0.10810810810810811,0.16216216216216217,0.02702702702702703,0.0,0.02702702702702703,0.0,0.08108108108108109,0.0,0.16216216216216217
Possession,0.03691275167785235,0.010067114093959731,0.08221476510067115,0.02181208053691275,0.0,0.21308724832214765,0.174496644295302,0.0016778523489932886,0.013422818791946308,0.4463087248322148
Set Piece / Restart,0.3333333333333333,0.03333333333333333,0.11666666666666667,0.0,0.0,0.06666666666666667,0.05,0.25,0.0,0.15
Shoot Attempt,0.07407407407407407,0.25925925925925924,0.0,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0.0
Short Pass,0.06666666666666667,0.2,0.3111111111111111,0.0,0.0,0.044444444444444446,0.022222222222222223,0.13333333333333333,0.0,0.2222222222222222
