,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.2625,0.0,0.0,0.325,0.0,0.025,0.0,0.3875
Defensive Action,0.09649122807017543,0.14035087719298245,0.18421052631578946,0.008771929824561403,0.0,0.07894736842105263,0.07017543859649122,0.043859649122807015,0.0,0.37719298245614036
Duel,0.021052631578947368,0.07894736842105263,0.05263157894736842,0.0,0.0,0.031578947368421054,0.6736842105263158,0.010526315789473684,0.005263157894736842,0.12631578947368421
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3793103448275862,0.13793103448275862,0.1724137931034483,0.0,0.0,0.10344827586206896,0.0,0.1724137931034483,0.0,0.034482758620689655
Possession,0.060784313725490195,0.01764705882352941,0.06274509803921569,0.025490196078431372,0.0,0.21764705882352942,0.21176470588235294,0.00784313725490196,0.029411764705882353,0.36666666666666664
Set Piece / Restart,0.2833333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.1,0.06666666666666667,0.3333333333333333,0.0,0.11666666666666667
Shoot Attempt,0.047619047619047616,0.19047619047619047,0.0,0.0,0.14285714285714285,0.0,0.0,0.6190476190476191,0.0,0.0
Short Pass,0.1111111111111111,0.4444444444444444,0.28888888888888886,0.06666666666666667,0.0,0.044444444444444446,0.0,0.044444444444444446,0.0,0.0
