,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.2647058823529412,0.0,0.0,0.3088235294117647,0.0,0.058823529411764705,0.0,0.36764705882352944
Defensive Action,0.0410958904109589,0.0547945205479452,0.2328767123287671,0.0273972602739726,0.0,0.1506849315068493,0.136986301369863,0.0684931506849315,0.0136986301369863,0.273972602739726
Duel,0.04310344827586207,0.0603448275862069,0.11206896551724138,0.0,0.0,0.04310344827586207,0.5862068965517241,0.0,0.05172413793103448,0.10344827586206896
Foul,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.044444444444444446,0.0,0.044444444444444446,0.0,0.044444444444444446,0.0,0.13333333333333333
Possession,0.017391304347826087,0.0,0.034782608695652174,0.011180124223602485,0.0,0.23478260869565218,0.05962732919254658,0.002484472049689441,0.02732919254658385,0.6124223602484472
Set Piece / Restart,0.3939393939393939,0.030303030303030304,0.030303030303030304,0.0,0.0,0.030303030303030304,0.015151515151515152,0.3181818181818182,0.015151515151515152,0.16666666666666666
Shoot Attempt,0.07692307692307693,0.1282051282051282,0.0,0.0,0.28205128205128205,0.0,0.0,0.5128205128205128,0.0,0.0
Short Pass,0.16129032258064516,0.5161290322580645,0.1935483870967742,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0967741935483871
