,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.033707865168539325,0.39325842696629215,0.0,0.0,0.15730337078651685,0.0,0.1348314606741573,0.0,0.2808988764044944
Defensive Action,0.0975609756097561,0.04878048780487805,0.21951219512195122,0.012195121951219513,0.0,0.08536585365853659,0.10975609756097561,0.0975609756097561,0.0,0.32926829268292684
Duel,0.007874015748031496,0.023622047244094488,0.11811023622047244,0.015748031496062992,0.0,0.015748031496062992,0.7086614173228346,0.0,0.023622047244094488,0.08661417322834646
Foul,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.43902439024390244,0.14634146341463414,0.14634146341463414,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0975609756097561,0.0,0.12195121951219512
Possession,0.028409090909090908,0.0022727272727272726,0.03409090909090909,0.010227272727272727,0.0,0.22045454545454546,0.06818181818181818,0.004545454545454545,0.013636363636363636,0.6181818181818182
Set Piece / Restart,0.328125,0.03125,0.046875,0.03125,0.0,0.171875,0.109375,0.21875,0.0,0.0625
Shoot Attempt,0.15,0.3,0.0,0.0,0.1,0.0,0.0,0.45,0.0,0.0
Short Pass,0.23529411764705882,0.5882352941176471,0.0196078431372549,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.09803921568627451
