,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.00980392156862745,0.27450980392156865,0.0,0.0,0.17647058823529413,0.0,0.00980392156862745,0.0,0.5294117647058824
Defensive Action,0.08064516129032258,0.016129032258064516,0.2903225806451613,0.0,0.0,0.11290322580645161,0.06451612903225806,0.08064516129032258,0.016129032258064516,0.3387096774193548
Duel,0.043478260869565216,0.0,0.08074534161490683,0.006211180124223602,0.0,0.0,0.7577639751552795,0.006211180124223602,0.012422360248447204,0.09316770186335403
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3137254901960784,0.11764705882352941,0.28431372549019607,0.0196078431372549,0.0,0.058823529411764705,0.0,0.0196078431372549,0.0,0.18627450980392157
Possession,0.03488372093023256,0.002325581395348837,0.029069767441860465,0.01744186046511628,0.0,0.24651162790697675,0.11976744186046512,0.002325581395348837,0.00813953488372093,0.5395348837209303
Set Piece / Restart,0.358974358974359,0.0,0.05128205128205128,0.0,0.0,0.1282051282051282,0.05128205128205128,0.3333333333333333,0.0,0.07692307692307693
Shoot Attempt,0.0,0.29411764705882354,0.0,0.0,0.058823529411764705,0.0,0.0,0.6470588235294118,0.0,0.0
Short Pass,0.1728395061728395,0.345679012345679,0.14814814814814814,0.024691358024691357,0.0,0.037037037037037035,0.012345679012345678,0.0,0.0,0.25925925925925924
