,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3181818181818182,0.0,0.0,0.13636363636363635,0.0,0.12121212121212122,0.0,0.42424242424242425
Defensive Action,0.1095890410958904,0.0958904109589041,0.1917808219178082,0.0136986301369863,0.0,0.0958904109589041,0.1506849315068493,0.136986301369863,0.0,0.2054794520547945
Duel,0.02727272727272727,0.03636363636363636,0.11818181818181818,0.0,0.0,0.03636363636363636,0.5636363636363636,0.01818181818181818,0.01818181818181818,0.18181818181818182
Foul,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.03225806451612903,0.03225806451612903
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.4074074074074074,0.2222222222222222,0.18518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.1111111111111111
Possession,0.02242152466367713,0.005605381165919282,0.02914798206278027,0.017937219730941704,0.0,0.17825112107623317,0.07286995515695067,0.0033632286995515697,0.01905829596412556,0.6513452914798207
Set Piece / Restart,0.16666666666666666,0.037037037037037035,0.07407407407407407,0.0,0.0,0.18518518518518517,0.018518518518518517,0.2962962962962963,0.018518518518518517,0.2037037037037037
Shoot Attempt,0.25,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.32142857142857145,0.0,0.0
Short Pass,0.21875,0.4375,0.125,0.03125,0.0,0.0625,0.0,0.03125,0.0,0.09375
