,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.30120481927710846,0.0,0.0,0.18072289156626506,0.0,0.07228915662650602,0.0,0.4457831325301205
Defensive Action,0.08064516129032258,0.07258064516129033,0.2661290322580645,0.0,0.0,0.08064516129032258,0.10483870967741936,0.056451612903225805,0.0,0.3387096774193548
Duel,0.059574468085106386,0.0425531914893617,0.07659574468085106,0.0,0.0,0.01276595744680851,0.6723404255319149,0.0,0.00425531914893617,0.13191489361702127
Foul,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3181818181818182,0.13636363636363635,0.3181818181818182,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.13636363636363635
Possession,0.054455445544554455,0.018151815181518153,0.09735973597359736,0.00825082508250825,0.0,0.19471947194719472,0.22772277227722773,0.0016501650165016502,0.018151815181518153,0.3795379537953795
Set Piece / Restart,0.2916666666666667,0.0625,0.041666666666666664,0.0,0.0,0.16666666666666666,0.041666666666666664,0.25,0.0,0.14583333333333334
Shoot Attempt,0.15,0.1,0.0,0.0,0.15,0.0,0.0,0.6,0.0,0.0
Short Pass,0.05714285714285714,0.34285714285714286,0.3142857142857143,0.05714285714285714,0.0,0.05714285714285714,0.0,0.05714285714285714,0.0,0.11428571428571428
