,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.011627906976744186,0.36046511627906974,0.0,0.0,0.313953488372093,0.0,0.023255813953488372,0.0,0.29069767441860467
Defensive Action,0.13333333333333333,0.02666666666666667,0.28,0.02666666666666667,0.0,0.04,0.13333333333333333,0.21333333333333335,0.0,0.14666666666666667
Duel,0.02654867256637168,0.02654867256637168,0.10619469026548672,0.008849557522123894,0.0,0.07079646017699115,0.6194690265486725,0.0,0.035398230088495575,0.10619469026548672
Foul,0.06521739130434782,0.0,0.0,0.0,0.0,0.021739130434782608,0.8478260869565217,0.021739130434782608,0.0,0.043478260869565216
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.358974358974359,0.1794871794871795,0.07692307692307693,0.1794871794871795,0.0,0.05128205128205128,0.0,0.0,0.0,0.15384615384615385
Possession,0.03855421686746988,0.0,0.020481927710843374,0.024096385542168676,0.0,0.24819277108433735,0.1144578313253012,0.0036144578313253013,0.01566265060240964,0.5349397590361445
Set Piece / Restart,0.28,0.04,0.04,0.02,0.0,0.22,0.02,0.24,0.0,0.14
Shoot Attempt,0.07407407407407407,0.4074074074074074,0.0,0.0,0.18518518518518517,0.0,0.0,0.3333333333333333,0.0,0.0
Short Pass,0.18604651162790697,0.4418604651162791,0.09302325581395349,0.11627906976744186,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.11627906976744186
