,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.30952380952380953,0.0,0.0,0.30952380952380953,0.0,0.047619047619047616,0.0,0.3333333333333333
Defensive Action,0.10784313725490197,0.0392156862745098,0.22549019607843138,0.029411764705882353,0.0,0.06862745098039216,0.12745098039215685,0.058823529411764705,0.00980392156862745,0.3333333333333333
Duel,0.0425531914893617,0.03723404255319149,0.06382978723404255,0.0,0.0,0.026595744680851064,0.6436170212765957,0.0,0.031914893617021274,0.15425531914893617
Foul,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.03333333333333333,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2,0.4,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.16
Possession,0.051515151515151514,0.006060606060606061,0.05757575757575758,0.015151515151515152,0.0,0.24393939393939393,0.15,0.0015151515151515152,0.016666666666666666,0.4575757575757576
Set Piece / Restart,0.43478260869565216,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.0,0.10869565217391304,0.0,0.2608695652173913,0.0,0.10869565217391304
Shoot Attempt,0.09090909090909091,0.22727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0,0.6363636363636364,0.0,0.0
Short Pass,0.06976744186046512,0.3953488372093023,0.23255813953488372,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.27906976744186046
