,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.4215686274509804,0.0,0.0,0.1568627450980392,0.0,0.0196078431372549,0.0,0.4019607843137255
Defensive Action,0.11764705882352941,0.13970588235294118,0.3014705882352941,0.007352941176470588,0.0,0.0661764705882353,0.007352941176470588,0.07352941176470588,0.007352941176470588,0.27941176470588236
Duel,0.03333333333333333,0.07916666666666666,0.09583333333333334,0.0,0.0,0.0125,0.6375,0.0125,0.03333333333333333,0.09583333333333334
Foul,0.10526315789473684,0.0,0.0,0.0,0.0,0.05263157894736842,0.8421052631578947,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.4,0.26666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.08888888888888889
Possession,0.04126547455295736,0.005502063273727648,0.05364511691884457,0.012379642365887207,0.0,0.2558459422283356,0.14030261348005502,0.002751031636863824,0.016506189821182942,0.4718019257221458
Set Piece / Restart,0.32142857142857145,0.05357142857142857,0.125,0.017857142857142856,0.0,0.10714285714285714,0.03571428571428571,0.25,0.0,0.08928571428571429
Shoot Attempt,0.0625,0.28125,0.0,0.0,0.15625,0.0,0.0,0.5,0.0,0.0
Short Pass,0.16,0.42,0.18,0.0,0.0,0.04,0.0,0.04,0.0,0.16
