,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.014285714285714285,0.5142857142857142,0.0,0.0,0.22857142857142856,0.0,0.04285714285714286,0.0,0.2
Defensive Action,0.11904761904761904,0.047619047619047616,0.23809523809523808,0.011904761904761904,0.0,0.07142857142857142,0.13095238095238096,0.11904761904761904,0.0,0.2619047619047619
Duel,0.02127659574468085,0.03546099290780142,0.11347517730496454,0.0070921985815602835,0.0,0.02127659574468085,0.624113475177305,0.0070921985815602835,0.028368794326241134,0.14184397163120568
Foul,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.23076923076923078
Possession,0.03159041394335512,0.004357298474945534,0.026143790849673203,0.0196078431372549,0.0,0.16993464052287582,0.11982570806100218,0.002178649237472767,0.014161220043572984,0.6122004357298475
Set Piece / Restart,0.35294117647058826,0.0196078431372549,0.058823529411764705,0.0,0.0,0.1568627450980392,0.0,0.27450980392156865,0.0,0.13725490196078433
Shoot Attempt,0.09375,0.28125,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.0
Short Pass,0.13043478260869565,0.5217391304347826,0.13043478260869565,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565
