,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.36764705882352944,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,0.39705882352941174
Defensive Action,0.16216216216216217,0.06756756756756757,0.17567567567567569,0.02702702702702703,0.0,0.0945945945945946,0.12162162162162163,0.16216216216216217,0.0,0.1891891891891892
Duel,0.06306306306306306,0.06306306306306306,0.0990990990990991,0.0,0.0,0.02702702702702703,0.6126126126126126,0.009009009009009009,0.009009009009009009,0.11711711711711711
Foul,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.8181818181818182,0.045454545454545456,0.045454545454545456,0.045454545454545456
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Possession,0.02544529262086514,0.002544529262086514,0.022900763358778626,0.017811704834605598,0.0,0.1743002544529262,0.09033078880407125,0.001272264631043257,0.01653944020356234,0.648854961832061
Set Piece / Restart,0.3333333333333333,0.0,0.1,0.0,0.0,0.06666666666666667,0.016666666666666666,0.3,0.0,0.18333333333333332
Shoot Attempt,0.1724137931034483,0.3448275862068966,0.0,0.0,0.1724137931034483,0.0,0.0,0.3103448275862069,0.0,0.0
Short Pass,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
