,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.014285714285714285,0.35714285714285715,0.0,0.0,0.17142857142857143,0.0,0.05714285714285714,0.0,0.4
Defensive Action,0.11304347826086956,0.10434782608695652,0.17391304347826086,0.0,0.0,0.11304347826086956,0.09565217391304348,0.08695652173913043,0.0,0.3130434782608696
Duel,0.0125,0.06875,0.0625,0.00625,0.0,0.0375,0.6375,0.0125,0.01875,0.14375
Foul,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.041666666666666664
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.05
Possession,0.04525547445255475,0.008759124087591242,0.0364963503649635,0.017518248175182483,0.0,0.2364963503649635,0.13576642335766423,0.008759124087591242,0.013138686131386862,0.4978102189781022
Set Piece / Restart,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.0,0.1568627450980392,0.0392156862745098,0.3137254901960784,0.0,0.19607843137254902
Shoot Attempt,0.16666666666666666,0.3888888888888889,0.0,0.0,0.16666666666666666,0.0,0.0,0.2777777777777778,0.0,0.0
Short Pass,0.21739130434782608,0.6086956521739131,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
