,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.010752688172043012,0.3010752688172043,0.0,0.0,0.2903225806451613,0.0,0.0967741935483871,0.0,0.3010752688172043
Defensive Action,0.11538461538461539,0.09615384615384616,0.25,0.028846153846153848,0.0,0.057692307692307696,0.08653846153846154,0.10576923076923077,0.009615384615384616,0.25
Duel,0.04128440366972477,0.009174311926605505,0.06422018348623854,0.0,0.0,0.03211009174311927,0.6513761467889908,0.0,0.04128440366972477,0.16055045871559634
Foul,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.043478260869565216,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.28,0.24,0.16,0.0,0.0,0.04,0.0,0.08,0.0,0.2
Possession,0.03833333333333333,0.008333333333333333,0.056666666666666664,0.013333333333333334,0.0,0.195,0.175,0.0,0.035,0.47833333333333333
Set Piece / Restart,0.3880597014925373,0.04477611940298507,0.08955223880597014,0.029850746268656716,0.0,0.19402985074626866,0.0,0.208955223880597,0.014925373134328358,0.029850746268656716
Shoot Attempt,0.13333333333333333,0.26666666666666666,0.0,0.0,0.044444444444444446,0.0,0.0,0.5555555555555556,0.0,0.0
Short Pass,0.11940298507462686,0.31343283582089554,0.3582089552238806,0.029850746268656716,0.0,0.029850746268656716,0.0,0.05970149253731343,0.0,0.08955223880597014
