,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3384615384615385,0.0,0.0,0.16923076923076924,0.0,0.07692307692307693,0.0,0.4153846153846154
Defensive Action,0.15841584158415842,0.06930693069306931,0.2376237623762376,0.0,0.0,0.07920792079207921,0.0594059405940594,0.039603960396039604,0.0,0.3564356435643564
Duel,0.019230769230769232,0.12179487179487179,0.038461538461538464,0.00641025641025641,0.0,0.01282051282051282,0.5961538461538461,0.0,0.04487179487179487,0.16025641025641027
Foul,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.9259259259259259,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2,0.2,0.3,0.15,0.0,0.0,0.0,0.15,0.0,0.0
Possession,0.02190721649484536,0.007731958762886598,0.029639175257731958,0.015463917525773196,0.0,0.2538659793814433,0.09020618556701031,0.006443298969072165,0.007731958762886598,0.5670103092783505
Set Piece / Restart,0.288135593220339,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.0,0.13559322033898305,0.03389830508474576,0.3220338983050847,0.0,0.11864406779661017
Shoot Attempt,0.15384615384615385,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.6153846153846154,0.0,0.0
Short Pass,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
