,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.014084507042253521,0.36619718309859156,0.0,0.0,0.16901408450704225,0.0,0.08450704225352113,0.0,0.36619718309859156
Defensive Action,0.07777777777777778,0.06666666666666667,0.3111111111111111,0.022222222222222223,0.0,0.1,0.13333333333333333,0.06666666666666667,0.0,0.2222222222222222
Duel,0.008695652173913044,0.02608695652173913,0.08695652173913043,0.0,0.0,0.02608695652173913,0.6695652173913044,0.0,0.017391304347826087,0.16521739130434782
Foul,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.0,0.0,0.043478260869565216
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.38461538461538464,0.2692307692307692,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.07692307692307693
Possession,0.01731996353691887,0.0018231540565177757,0.016408386508659983,0.006381039197812215,0.0,0.1431175934366454,0.05834092980856882,0.0009115770282588879,0.008204193254329991,0.7474931631722881
Set Piece / Restart,0.3409090909090909,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.022727272727272728,0.29545454545454547,0.0,0.20454545454545456
Shoot Attempt,0.15,0.2,0.0,0.0,0.1,0.0,0.0,0.55,0.0,0.0
Short Pass,0.189873417721519,0.4936708860759494,0.17721518987341772,0.02531645569620253,0.0,0.0,0.0,0.02531645569620253,0.0,0.08860759493670886
