,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.012195121951219513,0.1951219512195122,0.0,0.0,0.2926829268292683,0.0,0.04878048780487805,0.0,0.45121951219512196
Defensive Action,0.1111111111111111,0.06944444444444445,0.18055555555555555,0.0,0.0,0.06944444444444445,0.1111111111111111,0.125,0.0,0.3333333333333333
Duel,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.0,0.0,0.019230769230769232,0.7051282051282052,0.0,0.02564102564102564,0.09615384615384616
Foul,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.34375,0.15625,0.15625,0.03125,0.0,0.0,0.0,0.0625,0.0,0.25
Possession,0.030183727034120734,0.009186351706036745,0.05249343832020997,0.013123359580052493,0.0,0.24146981627296588,0.16404199475065617,0.0026246719160104987,0.027559055118110236,0.45931758530183725
Set Piece / Restart,0.453125,0.03125,0.09375,0.0,0.0,0.046875,0.015625,0.265625,0.0,0.09375
Shoot Attempt,0.02857142857142857,0.17142857142857143,0.0,0.0,0.17142857142857143,0.0,0.0,0.6285714285714286,0.0,0.0
Short Pass,0.12244897959183673,0.3877551020408163,0.16326530612244897,0.0,0.0,0.04081632653061224,0.0,0.061224489795918366,0.0,0.22448979591836735
