,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3253012048192771,0.0,0.0,0.2891566265060241,0.0,0.04819277108433735,0.0,0.3373493975903614
Defensive Action,0.14285714285714285,0.07142857142857142,0.2619047619047619,0.007936507936507936,0.0,0.09523809523809523,0.047619047619047616,0.06349206349206349,0.0,0.30952380952380953
Duel,0.023809523809523808,0.03333333333333333,0.06190476190476191,0.0,0.0,0.03333333333333333,0.7238095238095238,0.004761904761904762,0.01904761904761905,0.1
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.25,0.1388888888888889,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.0,0.027777777777777776,0.0,0.19444444444444445
Possession,0.035523978685612786,0.014209591474245116,0.07282415630550622,0.028419182948490232,0.0,0.19715808170515098,0.18650088809946713,0.0053285968028419185,0.035523978685612786,0.42451154529307283
Set Piece / Restart,0.37735849056603776,0.0,0.05660377358490566,0.0,0.0,0.1320754716981132,0.018867924528301886,0.2830188679245283,0.03773584905660377,0.09433962264150944
Shoot Attempt,0.06666666666666667,0.26666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0
Short Pass,0.16981132075471697,0.5094339622641509,0.20754716981132076,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.07547169811320754
