,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.41818181818181815,0.0,0.0,0.14545454545454545,0.0,0.03636363636363636,0.0,0.4
Defensive Action,0.10909090909090909,0.03636363636363636,0.2727272727272727,0.01818181818181818,0.0,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.0,0.23636363636363636
Duel,0.014492753623188406,0.007246376811594203,0.09420289855072464,0.014492753623188406,0.0,0.06521739130434782,0.6304347826086957,0.0,0.028985507246376812,0.14492753623188406
Foul,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.8823529411764706,0.0,0.0,0.058823529411764705
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Possession,0.03733031674208145,0.004524886877828055,0.042986425339366516,0.02262443438914027,0.0,0.16515837104072398,0.11085972850678733,0.004524886877828055,0.004524886877828055,0.6074660633484162
Set Piece / Restart,0.2222222222222222,0.0,0.06666666666666667,0.022222222222222223,0.0,0.1111111111111111,0.06666666666666667,0.37777777777777777,0.022222222222222223,0.1111111111111111
Shoot Attempt,0.1,0.3,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0
Short Pass,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5
