,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.36666666666666664,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.4
Defensive Action,0.08823529411764706,0.11764705882352941,0.23529411764705882,0.0,0.0,0.10294117647058823,0.058823529411764705,0.10294117647058823,0.0,0.29411764705882354
Duel,0.03305785123966942,0.049586776859504134,0.09917355371900827,0.008264462809917356,0.0,0.0,0.6776859504132231,0.0,0.05785123966942149,0.0743801652892562
Foul,0.02702702702702703,0.0,0.0,0.0,0.0,0.05405405405405406,0.8648648648648649,0.02702702702702703,0.0,0.02702702702702703
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Possession,0.03584672435105068,0.003708281829419036,0.029666254635352288,0.02595797280593325,0.0,0.21878862793572312,0.1211372064276885,0.004944375772558714,0.007416563658838072,0.5525339925834364
Set Piece / Restart,0.38636363636363635,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.09090909090909091,0.045454545454545456,0.2727272727272727,0.0,0.11363636363636363
Shoot Attempt,0.0,0.21739130434782608,0.0,0.0,0.13043478260869565,0.0,0.0,0.6521739130434783,0.0,0.0
Short Pass,0.06666666666666667,0.4,0.2,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333
