,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.013513513513513514,0.3918918918918919,0.0,0.0,0.22972972972972974,0.0,0.02702702702702703,0.0,0.33783783783783783
Defensive Action,0.09302325581395349,0.023255813953488372,0.3372093023255814,0.011627906976744186,0.0,0.05813953488372093,0.11627906976744186,0.12790697674418605,0.0,0.23255813953488372
Duel,0.03424657534246575,0.04794520547945205,0.0958904109589041,0.00684931506849315,0.0,0.0410958904109589,0.5684931506849316,0.00684931506849315,0.03424657534246575,0.1643835616438356
Foul,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.9444444444444444,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.475,0.175,0.075,0.05,0.0,0.075,0.0,0.0,0.0,0.15
Possession,0.023446658851113716,0.004689331770222743,0.031652989449003514,0.016412661195779603,0.0,0.19929660023446658,0.10433763188745604,0.0023446658851113715,0.012895662368112544,0.6049237983587339
Set Piece / Restart,0.38,0.06,0.02,0.02,0.0,0.04,0.04,0.26,0.0,0.18
Shoot Attempt,0.03571428571428571,0.32142857142857145,0.0,0.0,0.07142857142857142,0.0,0.0,0.5714285714285714,0.0,0.0
Short Pass,0.07407407407407407,0.5925925925925926,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407
