,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.35,0.0,0.0,0.26666666666666666,0.0,0.016666666666666666,0.0,0.36666666666666664
Defensive Action,0.1076923076923077,0.046153846153846156,0.27692307692307694,0.03076923076923077,0.0,0.07692307692307693,0.16923076923076924,0.07692307692307693,0.0,0.2153846153846154
Duel,0.07352941176470588,0.022058823529411766,0.07352941176470588,0.007352941176470588,0.0,0.022058823529411766,0.6691176470588235,0.0,0.051470588235294115,0.08088235294117647
Foul,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.8214285714285714,0.03571428571428571,0.0,0.10714285714285714
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.25,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Possession,0.025703794369645042,0.0012239902080783353,0.030599755201958383,0.01591187270501836,0.0,0.23133414932680538,0.08078335373317014,0.0024479804161566705,0.008567931456548347,0.6034271725826194
Set Piece / Restart,0.30612244897959184,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.0,0.14285714285714285,0.04081632653061224,0.30612244897959184,0.0,0.12244897959183673
Shoot Attempt,0.05,0.15,0.0,0.0,0.15,0.0,0.05,0.6,0.0,0.0
Short Pass,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
