,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.013157894736842105,0.23684210526315788,0.0,0.0,0.2894736842105263,0.0,0.17105263157894737,0.0,0.2894736842105263
Defensive Action,0.1326530612244898,0.1326530612244898,0.2755102040816326,0.01020408163265306,0.0,0.10204081632653061,0.04081632653061224,0.10204081632653061,0.0,0.20408163265306123
Duel,0.020833333333333332,0.052083333333333336,0.09895833333333333,0.0,0.0,0.057291666666666664,0.625,0.010416666666666666,0.020833333333333332,0.11458333333333333
Foul,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.9473684210526315,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.1875,0.25,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.25
Possession,0.02664576802507837,0.009404388714733543,0.06739811912225706,0.017241379310344827,0.0,0.219435736677116,0.17711598746081506,0.009404388714733543,0.050156739811912224,0.4231974921630094
Set Piece / Restart,0.2808988764044944,0.02247191011235955,0.10112359550561797,0.0,0.0,0.15730337078651685,0.0449438202247191,0.2696629213483146,0.011235955056179775,0.11235955056179775
Shoot Attempt,0.1590909090909091,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.0,0.6590909090909091,0.0,0.0
Short Pass,0.1794871794871795,0.2564102564102564,0.23076923076923078,0.02564102564102564,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.23076923076923078
