,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.44776119402985076,0.0,0.0,0.14925373134328357,0.0,0.014925373134328358,0.0,0.3880597014925373
Defensive Action,0.07792207792207792,0.025974025974025976,0.3246753246753247,0.0,0.0,0.05194805194805195,0.19480519480519481,0.1038961038961039,0.0,0.22077922077922077
Duel,0.022058823529411766,0.007352941176470588,0.07352941176470588,0.0,0.0,0.04411764705882353,0.6838235294117647,0.022058823529411766,0.007352941176470588,0.13970588235294118
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693
Possession,0.044897959183673466,0.006802721088435374,0.036734693877551024,0.0163265306122449,0.0,0.24761904761904763,0.1727891156462585,0.00816326530612245,0.010884353741496598,0.4557823129251701
Set Piece / Restart,0.3137254901960784,0.0196078431372549,0.0392156862745098,0.0,0.0,0.13725490196078433,0.0784313725490196,0.27450980392156865,0.0,0.13725490196078433
Shoot Attempt,0.05263157894736842,0.3684210526315789,0.0,0.0,0.21052631578947367,0.0,0.0,0.3684210526315789,0.0,0.0
Short Pass,0.26666666666666666,0.3333333333333333,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333
