,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.014084507042253521,0.28169014084507044,0.0,0.0,0.2112676056338028,0.0,0.014084507042253521,0.0,0.4788732394366197
Defensive Action,0.04424778761061947,0.12389380530973451,0.25663716814159293,0.0,0.0,0.11504424778761062,0.09734513274336283,0.07079646017699115,0.0,0.2920353982300885
Duel,0.06179775280898876,0.06179775280898876,0.07303370786516854,0.0056179775280898875,0.0,0.028089887640449437,0.601123595505618,0.0,0.033707865168539325,0.1348314606741573
Foul,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3888888888888889,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222
Possession,0.030855539971949508,0.011220196353436185,0.05329593267882188,0.005610098176718092,0.0,0.2664796633941094,0.1093969144460028,0.002805049088359046,0.019635343618513323,0.5007012622720898
Set Piece / Restart,0.37735849056603776,0.05660377358490566,0.07547169811320754,0.0,0.0,0.07547169811320754,0.0,0.33962264150943394,0.0,0.07547169811320754
Shoot Attempt,0.03125,0.21875,0.0,0.0,0.09375,0.0,0.0,0.65625,0.0,0.0
Short Pass,0.11428571428571428,0.34285714285714286,0.2571428571428571,0.02857142857142857,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.17142857142857143
