,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3283582089552239,0.0,0.0,0.29850746268656714,0.0,0.014925373134328358,0.014925373134328358,0.34328358208955223
Defensive Action,0.15,0.1125,0.175,0.025,0.0,0.0875,0.1125,0.0875,0.0,0.25
Duel,0.013793103448275862,0.027586206896551724,0.1310344827586207,0.006896551724137931,0.0,0.013793103448275862,0.6827586206896552,0.020689655172413793,0.013793103448275862,0.0896551724137931
Foul,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2,0.35,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Possession,0.04406779661016949,0.013559322033898305,0.05423728813559322,0.020338983050847456,0.0,0.24067796610169492,0.17457627118644067,0.0,0.015254237288135594,0.43728813559322033
Set Piece / Restart,0.37777777777777777,0.022222222222222223,0.06666666666666667,0.0,0.0,0.1111111111111111,0.022222222222222223,0.24444444444444444,0.0,0.15555555555555556
Shoot Attempt,0.043478260869565216,0.17391304347826086,0.0,0.0,0.13043478260869565,0.0,0.0,0.6521739130434783,0.0,0.0
Short Pass,0.17647058823529413,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941
