,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.03896103896103896,0.33766233766233766,0.0,0.0,0.2597402597402597,0.0,0.06493506493506493,0.0,0.2987012987012987
Defensive Action,0.16176470588235295,0.0,0.17647058823529413,0.014705882352941176,0.0,0.11764705882352941,0.10294117647058823,0.14705882352941177,0.0,0.27941176470588236
Duel,0.015267175572519083,0.030534351145038167,0.12213740458015267,0.0,0.0,0.015267175572519083,0.6106870229007634,0.007633587786259542,0.0,0.1984732824427481
Foul,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.041666666666666664,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.25,0.08333333333333333,0.25,0.0,0.0,0.125,0.0,0.125,0.0,0.16666666666666666
Possession,0.02727272727272727,0.0,0.030303030303030304,0.007070707070707071,0.0,0.15656565656565657,0.12828282828282828,0.00202020202020202,0.015151515151515152,0.6333333333333333
Set Piece / Restart,0.32075471698113206,0.018867924528301886,0.05660377358490566,0.018867924528301886,0.0,0.07547169811320754,0.0,0.2641509433962264,0.0,0.24528301886792453
Shoot Attempt,0.15384615384615385,0.3076923076923077,0.0,0.0,0.15384615384615385,0.0,0.0,0.38461538461538464,0.0,0.0
Short Pass,0.24324324324324326,0.24324324324324326,0.1891891891891892,0.13513513513513514,0.0,0.02702702702702703,0.0,0.02702702702702703,0.0,0.13513513513513514
