,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.27941176470588236,0.0,0.0,0.25,0.0,0.10294117647058823,0.0,0.36764705882352944
Defensive Action,0.06862745098039216,0.08823529411764706,0.23529411764705882,0.0,0.0,0.10784313725490197,0.06862745098039216,0.14705882352941177,0.0,0.28431372549019607
Duel,0.03067484662576687,0.03680981595092025,0.0736196319018405,0.0,0.0,0.04294478527607362,0.6871165644171779,0.0,0.03067484662576687,0.09815950920245399
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3409090909090909,0.20454545454545456,0.1590909090909091,0.022727272727272728,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182
Possession,0.021885521885521887,0.006734006734006734,0.05387205387205387,0.013468013468013467,0.0,0.2676767676767677,0.09764309764309764,0.003367003367003367,0.037037037037037035,0.4983164983164983
Set Piece / Restart,0.2835820895522388,0.07462686567164178,0.1044776119402985,0.0,0.0,0.13432835820895522,0.029850746268656716,0.23880597014925373,0.0,0.13432835820895522
Shoot Attempt,0.10810810810810811,0.2972972972972973,0.0,0.0,0.10810810810810811,0.0,0.0,0.4864864864864865,0.0,0.0
Short Pass,0.13513513513513514,0.4594594594594595,0.21621621621621623,0.02702702702702703,0.0,0.05405405405405406,0.05405405405405406,0.0,0.0,0.05405405405405406
