,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.010752688172043012,0.25806451612903225,0.0,0.0,0.24731182795698925,0.0,0.03225806451612903,0.0,0.45161290322580644
Defensive Action,0.1267605633802817,0.014084507042253521,0.2112676056338028,0.028169014084507043,0.0,0.08450704225352113,0.2112676056338028,0.07042253521126761,0.0,0.2535211267605634
Duel,0.05747126436781609,0.011494252873563218,0.05172413793103448,0.0,0.0,0.040229885057471264,0.632183908045977,0.005747126436781609,0.011494252873563218,0.1896551724137931
Foul,0.125,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.4166666666666667,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.08333333333333333
Possession,0.06045751633986928,0.006535947712418301,0.06372549019607843,0.013071895424836602,0.0,0.22549019607843138,0.19281045751633988,0.006535947712418301,0.00980392156862745,0.4215686274509804
Set Piece / Restart,0.37209302325581395,0.023255813953488372,0.046511627906976744,0.0,0.0,0.06976744186046512,0.06976744186046512,0.32558139534883723,0.0,0.09302325581395349
Shoot Attempt,0.125,0.0625,0.0,0.0,0.0625,0.0,0.0,0.75,0.0,0.0
Short Pass,0.14634146341463414,0.07317073170731707,0.21951219512195122,0.04878048780487805,0.0,0.04878048780487805,0.0,0.04878048780487805,0.0,0.4146341463414634
