,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.36619718309859156,0.0,0.0,0.23943661971830985,0.0,0.09859154929577464,0.0,0.29577464788732394
Defensive Action,0.05172413793103448,0.034482758620689655,0.29310344827586204,0.0,0.0,0.06896551724137931,0.1206896551724138,0.08620689655172414,0.0,0.3448275862068966
Duel,0.04142011834319527,0.023668639053254437,0.10059171597633136,0.0,0.0,0.023668639053254437,0.6923076923076923,0.023668639053254437,0.01775147928994083,0.07692307692307693
Foul,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.3333333333333333
Possession,0.04296296296296296,0.005925925925925926,0.05333333333333334,0.01925925925925926,0.0,0.18962962962962962,0.1837037037037037,0.008888888888888889,0.011851851851851851,0.48444444444444446
Set Piece / Restart,0.3181818181818182,0.0,0.09090909090909091,0.0,0.0,0.12121212121212122,0.015151515151515152,0.3333333333333333,0.030303030303030304,0.09090909090909091
Shoot Attempt,0.07142857142857142,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.6428571428571429,0.0,0.0
Short Pass,0.1875,0.125,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.125
