,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.38095238095238093,0.0,0.0,0.27380952380952384,0.0,0.023809523809523808,0.0,0.32142857142857145
Defensive Action,0.06896551724137931,0.09482758620689655,0.27586206896551724,0.017241379310344827,0.0,0.0603448275862069,0.19827586206896552,0.0603448275862069,0.0,0.22413793103448276
Duel,0.041884816753926704,0.08376963350785341,0.08900523560209424,0.005235602094240838,0.0,0.03664921465968586,0.5654450261780105,0.005235602094240838,0.015706806282722512,0.15706806282722513
Foul,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.8974358974358975,0.05128205128205128,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3617021276595745,0.2765957446808511,0.1702127659574468,0.0425531914893617,0.0,0.02127659574468085,0.0,0.06382978723404255,0.0,0.06382978723404255
Possession,0.030712530712530713,0.0036855036855036856,0.06265356265356266,0.022113022113022112,0.0,0.1547911547911548,0.12530712530712532,0.0036855036855036856,0.018427518427518427,0.5786240786240786
Set Piece / Restart,0.3584905660377358,0.05660377358490566,0.09433962264150944,0.018867924528301886,0.0,0.1320754716981132,0.07547169811320754,0.20754716981132076,0.0,0.05660377358490566
Shoot Attempt,0.03571428571428571,0.25,0.0,0.0,0.07142857142857142,0.0,0.0,0.6428571428571429,0.0,0.0
Short Pass,0.13636363636363635,0.36363636363636365,0.22727272727272727,0.045454545454545456,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.18181818181818182
