,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.21739130434782608,0.0,0.0,0.34782608695652173,0.0,0.07246376811594203,0.0,0.36231884057971014
Defensive Action,0.10989010989010989,0.06593406593406594,0.23076923076923078,0.01098901098901099,0.0,0.07692307692307693,0.12087912087912088,0.0989010989010989,0.0,0.2857142857142857
Duel,0.0379746835443038,0.006329113924050633,0.0759493670886076,0.0,0.0,0.06329113924050633,0.6392405063291139,0.006329113924050633,0.03164556962025317,0.13924050632911392
Foul,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.047619047619047616
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3,0.06666666666666667,0.13333333333333333,0.0,0.0,0.16666666666666666,0.0,0.06666666666666667,0.0,0.26666666666666666
Possession,0.023450586264656615,0.01675041876046901,0.04355108877721943,0.01340033500837521,0.0,0.2747068676716918,0.1474036850921273,0.0033500837520938024,0.01340033500837521,0.4639865996649916
Set Piece / Restart,0.3870967741935484,0.016129032258064516,0.08064516129032258,0.0,0.0,0.12903225806451613,0.0,0.2903225806451613,0.0,0.0967741935483871
Shoot Attempt,0.0967741935483871,0.22580645161290322,0.0,0.0,0.12903225806451613,0.0,0.0,0.5483870967741935,0.0,0.0
Short Pass,0.08,0.24,0.36,0.04,0.0,0.08,0.0,0.0,0.0,0.2
