,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3466666666666667,0.0,0.0,0.22666666666666666,0.0,0.02666666666666667,0.0,0.4
Defensive Action,0.12371134020618557,0.07216494845360824,0.28865979381443296,0.010309278350515464,0.0,0.1134020618556701,0.07216494845360824,0.10309278350515463,0.0,0.21649484536082475
Duel,0.04081632653061224,0.047619047619047616,0.061224489795918366,0.006802721088435374,0.0,0.013605442176870748,0.6530612244897959,0.006802721088435374,0.04081632653061224,0.1292517006802721
Foul,0.05263157894736842,0.0,0.0,0.0,0.0,0.02631578947368421,0.8947368421052632,0.02631578947368421,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
Possession,0.0335946248600224,0.0033594624860022394,0.03135498320268757,0.022396416573348264,0.0,0.16573348264277715,0.11534154535274356,0.0033594624860022394,0.013437849944008958,0.6114221724524076
Set Piece / Restart,0.38461538461538464,0.019230769230769232,0.11538461538461539,0.019230769230769232,0.0,0.07692307692307693,0.038461538461538464,0.23076923076923078,0.019230769230769232,0.09615384615384616
Shoot Attempt,0.07142857142857142,0.2857142857142857,0.0,0.0,0.03571428571428571,0.0,0.0,0.6071428571428571,0.0,0.0
Short Pass,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
