,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.012987012987012988,0.0,0.44155844155844154
Defensive Action,0.1348314606741573,0.06741573033707865,0.24719101123595505,0.02247191011235955,0.0,0.07865168539325842,0.0898876404494382,0.033707865168539325,0.0,0.3258426966292135
Duel,0.027210884353741496,0.047619047619047616,0.05442176870748299,0.006802721088435374,0.0,0.02040816326530612,0.6802721088435374,0.0,0.006802721088435374,0.1564625850340136
Foul,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2962962962962963,0.3333333333333333,0.1111111111111111,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.14814814814814814
Possession,0.03911342894393742,0.005215123859191656,0.04954367666232073,0.007822685788787484,0.0,0.22294654498044328,0.1290743155149935,0.0,0.010430247718383311,0.5358539765319427
Set Piece / Restart,0.4634146341463415,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.4634146341463415,0.0,0.04878048780487805
Shoot Attempt,0.058823529411764705,0.11764705882352941,0.0,0.0,0.35294117647058826,0.0,0.0,0.47058823529411764,0.0,0.0
Short Pass,0.09523809523809523,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.047619047619047616
