,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.2463768115942029,0.0,0.0,0.30434782608695654,0.0,0.057971014492753624,0.0,0.391304347826087
Defensive Action,0.1111111111111111,0.06172839506172839,0.25925925925925924,0.0,0.0,0.08641975308641975,0.024691358024691357,0.08641975308641975,0.0,0.37037037037037035
Duel,0.02040816326530612,0.04081632653061224,0.05102040816326531,0.0,0.0,0.025510204081632654,0.7091836734693877,0.0,0.01020408163265306,0.14285714285714285
Foul,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.038461538461538464,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.20689655172413793,0.13793103448275862,0.20689655172413793,0.017241379310344827,0.0,0.13793103448275862,0.0,0.06896551724137931,0.0,0.22413793103448276
Possession,0.035168195718654434,0.0045871559633027525,0.045871559633027525,0.016819571865443424,0.0,0.25840978593272174,0.18042813455657492,0.0,0.022935779816513763,0.43577981651376146
Set Piece / Restart,0.2777777777777778,0.037037037037037035,0.14814814814814814,0.0,0.0,0.09259259259259259,0.07407407407407407,0.2222222222222222,0.0,0.14814814814814814
Shoot Attempt,0.038461538461538464,0.23076923076923078,0.0,0.0,0.11538461538461539,0.0,0.0,0.6153846153846154,0.0,0.0
Short Pass,0.07246376811594203,0.37681159420289856,0.2028985507246377,0.028985507246376812,0.0,0.07246376811594203,0.0,0.043478260869565216,0.0,0.2028985507246377
