,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.02666666666666667,0.4266666666666667,0.0,0.0,0.12,0.0,0.09333333333333334,0.0,0.3333333333333333
Defensive Action,0.13157894736842105,0.07894736842105263,0.25,0.0,0.0,0.11842105263157894,0.11842105263157894,0.09210526315789473,0.0,0.21052631578947367
Duel,0.012578616352201259,0.018867924528301886,0.0440251572327044,0.0,0.0,0.025157232704402517,0.7358490566037735,0.006289308176100629,0.006289308176100629,0.1509433962264151
Foul,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.0,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.047619047619047616
Possession,0.03707995365005794,0.0034762456546929316,0.046349942062572425,0.006952491309385863,0.0,0.19582850521436848,0.13904982618771727,0.002317497103128621,0.015063731170336037,0.5538818076477404
Set Piece / Restart,0.2549019607843137,0.058823529411764705,0.0392156862745098,0.0,0.0,0.1568627450980392,0.0784313725490196,0.2549019607843137,0.0,0.1568627450980392
Shoot Attempt,0.18181818181818182,0.22727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0,0.5454545454545454,0.0,0.0
Short Pass,0.25925925925925924,0.37037037037037035,0.18518518518518517,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.1111111111111111
