,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.36363636363636365,0.0,0.0,0.17272727272727273,0.0,0.03636363636363636,0.0,0.42727272727272725
Defensive Action,0.11904761904761904,0.03571428571428571,0.2261904761904762,0.0,0.0,0.10714285714285714,0.09523809523809523,0.08333333333333333,0.0,0.3333333333333333
Duel,0.03608247422680412,0.010309278350515464,0.09278350515463918,0.005154639175257732,0.0,0.041237113402061855,0.6907216494845361,0.0,0.010309278350515464,0.1134020618556701
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.2696629213483146,0.21348314606741572,0.2696629213483146,0.0,0.0,0.033707865168539325,0.0,0.02247191011235955,0.0,0.19101123595505617
Possession,0.03678474114441417,0.006811989100817439,0.05722070844686648,0.01907356948228883,0.0,0.28201634877384196,0.13760217983651227,0.0027247956403269754,0.02316076294277929,0.43460490463215257
Set Piece / Restart,0.3333333333333333,0.05555555555555555,0.07407407407407407,0.0,0.0,0.05555555555555555,0.037037037037037035,0.2962962962962963,0.0,0.14814814814814814
Shoot Attempt,0.12,0.2,0.0,0.0,0.2,0.0,0.0,0.48,0.0,0.0
Short Pass,0.20192307692307693,0.3173076923076923,0.1346153846153846,0.0,0.0,0.04807692307692308,0.009615384615384616,0.028846153846153848,0.0,0.25961538461538464
