,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.323943661971831,0.0,0.0,0.2535211267605634,0.0,0.056338028169014086,0.0,0.36619718309859156
Defensive Action,0.08943089430894309,0.08130081300813008,0.25203252032520324,0.016260162601626018,0.0,0.12195121951219512,0.06504065040650407,0.06504065040650407,0.008130081300813009,0.3008130081300813
Duel,0.04054054054054054,0.07207207207207207,0.05405405405405406,0.0,0.0,0.013513513513513514,0.6531531531531531,0.009009009009009009,0.018018018018018018,0.13963963963963963
Foul,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.7647058823529411,0.0,0.0,0.058823529411764705
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.23076923076923078,0.2564102564102564,0.23076923076923078,0.02564102564102564,0.0,0.0,0.0,0.1282051282051282,0.0,0.1282051282051282
Possession,0.03859060402684564,0.016778523489932886,0.08221476510067115,0.010067114093959731,0.0,0.21308724832214765,0.18120805369127516,0.0050335570469798654,0.008389261744966443,0.4446308724832215
Set Piece / Restart,0.22916666666666666,0.0,0.14583333333333334,0.041666666666666664,0.0,0.08333333333333333,0.020833333333333332,0.3125,0.0,0.16666666666666666
Shoot Attempt,0.0,0.5,0.0,0.0,0.0625,0.0,0.0,0.4375,0.0,0.0
Short Pass,0.09090909090909091,0.48484848484848486,0.18181818181818182,0.0,0.0,0.015151515151515152,0.0,0.015151515151515152,0.0,0.21212121212121213
