,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3488372093023256,0.0,0.0,0.1744186046511628,0.0,0.046511627906976744,0.0,0.43023255813953487
Defensive Action,0.12030075187969924,0.08270676691729323,0.23308270676691728,0.0,0.0,0.06015037593984962,0.09022556390977443,0.03759398496240601,0.0,0.37593984962406013
Duel,0.028925619834710745,0.049586776859504134,0.11983471074380166,0.004132231404958678,0.0,0.024793388429752067,0.6487603305785123,0.0,0.012396694214876033,0.1115702479338843
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.3333333333333333,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.15151515151515152
Possession,0.05042016806722689,0.013445378151260505,0.08403361344537816,0.013445378151260505,0.0,0.2134453781512605,0.18319327731092436,0.0033613445378151263,0.015126050420168067,0.4235294117647059
Set Piece / Restart,0.28846153846153844,0.07692307692307693,0.038461538461538464,0.0,0.0,0.09615384615384616,0.038461538461538464,0.40384615384615385,0.019230769230769232,0.038461538461538464
Shoot Attempt,0.08695652173913043,0.21739130434782608,0.0,0.0,0.21739130434782608,0.0,0.0,0.4782608695652174,0.0,0.0
Short Pass,0.11904761904761904,0.4523809523809524,0.2619047619047619,0.0,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0,0.09523809523809523
