,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.2962962962962963,0.0,0.0,0.2740740740740741,0.0,0.037037037037037035,0.0,0.3925925925925926
Defensive Action,0.1271186440677966,0.06779661016949153,0.2542372881355932,0.01694915254237288,0.0,0.1016949152542373,0.0423728813559322,0.05084745762711865,0.0,0.3389830508474576
Duel,0.04878048780487805,0.02032520325203252,0.12195121951219512,0.0,0.0,0.06097560975609756,0.5772357723577236,0.0040650406504065045,0.04065040650406504,0.12601626016260162
Foul,0.08928571428571429,0.0,0.0,0.017857142857142856,0.0,0.0,0.8214285714285714,0.0,0.03571428571428571,0.03571428571428571
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.208,0.2,0.272,0.064,0.0,0.08,0.0,0.016,0.0,0.16
Possession,0.03652517275419546,0.007897334649555774,0.050345508390918066,0.019743336623889437,0.0,0.21618953603158933,0.16584402764067127,0.0019743336623889436,0.009871668311944718,0.491609081934847
Set Piece / Restart,0.2608695652173913,0.028985507246376812,0.0,0.043478260869565216,0.0,0.15942028985507245,0.028985507246376812,0.36231884057971014,0.014492753623188406,0.10144927536231885
Shoot Attempt,0.0967741935483871,0.16129032258064516,0.0,0.0,0.16129032258064516,0.0,0.0,0.5806451612903226,0.0,0.0
Short Pass,0.15966386554621848,0.40336134453781514,0.17647058823529413,0.04201680672268908,0.0,0.058823529411764705,0.0,0.025210084033613446,0.0,0.13445378151260504
