,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.4142857142857143,0.0,0.0,0.2571428571428571,0.0,0.02857142857142857,0.0,0.3
Defensive Action,0.18,0.09,0.24,0.0,0.0,0.1,0.1,0.07,0.01,0.21
Duel,0.013793103448275862,0.027586206896551724,0.06896551724137931,0.006896551724137931,0.0,0.027586206896551724,0.6206896551724138,0.0,0.027586206896551724,0.20689655172413793
Foul,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.8484848484848485,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285
Possession,0.03233256351039261,0.0023094688221709007,0.03926096997690531,0.016166281755196306,0.0,0.19399538106235567,0.09699769053117784,0.0023094688221709007,0.005773672055427252,0.6108545034642032
Set Piece / Restart,0.3142857142857143,0.05714285714285714,0.0,0.0,0.0,0.11428571428571428,0.0,0.34285714285714286,0.0,0.17142857142857143
Shoot Attempt,0.125,0.25,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.0
Short Pass,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
