,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3333333333333333,0.0,0.0,0.21052631578947367,0.0,0.017543859649122806,0.0,0.43859649122807015
Defensive Action,0.06451612903225806,0.043010752688172046,0.24731182795698925,0.0,0.0,0.08602150537634409,0.12903225806451613,0.17204301075268819,0.0,0.25806451612903225
Duel,0.012578616352201259,0.0440251572327044,0.08176100628930817,0.0,0.0,0.025157232704402517,0.6540880503144654,0.018867924528301886,0.050314465408805034,0.11320754716981132
Foul,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.4117647058823529,0.17647058823529413,0.11764705882352941,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705
Possession,0.03225806451612903,0.0012903225806451613,0.04258064516129032,0.005161290322580645,0.0,0.2696774193548387,0.11870967741935484,0.0025806451612903226,0.011612903225806452,0.5161290322580645
Set Piece / Restart,0.22950819672131148,0.06557377049180328,0.13114754098360656,0.0,0.0,0.11475409836065574,0.03278688524590164,0.29508196721311475,0.0,0.13114754098360656
Shoot Attempt,0.034482758620689655,0.4827586206896552,0.0,0.0,0.13793103448275862,0.0,0.0,0.3448275862068966,0.0,0.0
Short Pass,0.13333333333333333,0.3333333333333333,0.2,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.13333333333333333
