,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.34615384615384615,0.0,0.0,0.2948717948717949,0.0,0.02564102564102564,0.0,0.3333333333333333
Defensive Action,0.09734513274336283,0.07964601769911504,0.2831858407079646,0.0,0.0,0.061946902654867256,0.061946902654867256,0.11504424778761062,0.0,0.3008849557522124
Duel,0.01092896174863388,0.06557377049180328,0.07650273224043716,0.01092896174863388,0.0,0.01639344262295082,0.6721311475409836,0.00546448087431694,0.03278688524590164,0.1092896174863388
Foul,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.48484848484848486,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.0,0.030303030303030304,0.0,0.09090909090909091,0.0,0.06060606060606061
Possession,0.03221288515406162,0.008403361344537815,0.06162464985994398,0.0196078431372549,0.0,0.23809523809523808,0.16666666666666666,0.0028011204481792717,0.022408963585434174,0.4481792717086835
Set Piece / Restart,0.3103448275862069,0.08620689655172414,0.10344827586206896,0.0,0.0,0.06896551724137931,0.05172413793103448,0.25862068965517243,0.0,0.1206896551724138
Shoot Attempt,0.06451612903225806,0.3225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.5806451612903226,0.0,0.0
Short Pass,0.125,0.6,0.15,0.0,0.0,0.025,0.0,0.0,0.0,0.1
