,Change of Possession,Defensive Action,Duel,Foul,Goal,Long Pass,Possession,Set Piece / Restart,Shoot Attempt,Short Pass
Change of Possession,0.0,0.0,0.3488372093023256,0.0,0.0,0.20930232558139536,0.0,0.03488372093023256,0.0,0.4069767441860465
Defensive Action,0.15625,0.078125,0.234375,0.0,0.0,0.078125,0.09375,0.09375,0.0,0.265625
Duel,0.04878048780487805,0.024390243902439025,0.07926829268292683,0.0,0.0,0.036585365853658534,0.7012195121951219,0.0,0.018292682926829267,0.09146341463414634
Foul,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.8333333333333334,0.0,0.041666666666666664,0.08333333333333333
Goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Long Pass,0.39473684210526316,0.07894736842105263,0.18421052631578946,0.07894736842105263,0.0,0.0,0.0,0.10526315789473684,0.0,0.15789473684210525
Possession,0.038978494623655914,0.005376344086021506,0.05241935483870968,0.012096774193548387,0.0,0.20698924731182797,0.12903225806451613,0.0013440860215053765,0.01478494623655914,0.5389784946236559
Set Piece / Restart,0.3181818181818182,0.0,0.09090909090909091,0.0,0.0,0.13636363636363635,0.022727272727272728,0.25,0.0,0.18181818181818182
Shoot Attempt,0.125,0.16666666666666666,0.0,0.0,0.041666666666666664,0.0,0.0,0.6666666666666666,0.0,0.0
Short Pass,0.125,0.42857142857142855,0.14285714285714285,0.03571428571428571,0.0,0.0,0.0,0.017857142857142856,0.0,0.25
